Retention Time (min),Van der Waals Radius (pm),HOMO Energy (eV),LUMO Energy (eV),Redox Potential (V),Molecular Weight (g/mol),Polarizability,pKa,Number of Benzene Rings
17.89,226.0,-8.16,-0.31,-1.09,138.7,1.55,9.83,1
18.01,210.2,-5.65,-1.66,-1.25,327.5,1.22,6.28,2
9.17,103.7,-8.91,-2.16,-1.25,480.5,3.95,0.02,4
15.98,213.5,-8.55,-1.26,1.55,210.1,3.37,10.33,1
19.42,207.9,-9.46,-2.47,-1.18,431.9,0.26,2.82,4
6.06,114.5,-10.2,0.61,-0.48,130.2,7.34,9.12,1
15.54,180.5,-7.57,-0.09,-1.63,388.0,1.87,12.47,3
5.62,182.3,-5.47,-2.79,-1.85,129.6,7.89,5.73,1
6.42,234.2,-7.11,1.77,1.79,230.5,6.26,0.43,2
9.13,166.5,-7.02,0.86,1.05,415.8,6.04,13.05,4
9.4,183.9,-5.85,1.87,-0.26,314.2,5.33,4.1,2
14.32,182.6,-6.8,0.21,-1.32,414.1,3.45,10.2,4
2.99,177.9,-8.74,1.71,1.92,333.5,8.56,4.79,2
16.99,228.0,-6.18,1.02,-0.26,430.7,0.92,11.78,3
3.59,242.0,-10.26,-1.46,0.18,225.0,7.54,9.13,2
1.49,237.2,-5.77,0.77,-1.7,345.1,9.77,4.1,2
8.66,129.5,-7.95,-2.39,-0.88,151.8,6.23,1.91,1
15.73,230.2,-7.73,-0.47,-0.95,433.5,1.97,2.29,3
7.62,147.7,-5.46,1.54,-1.44,211.8,5.85,10.89,2
17.16,101.9,-6.9,-0.38,1.58,222.4,1.25,1.42,2
13.6,180.0,-10.53,1.73,-1.22,466.8,2.96,2.04,4
14.47,114.1,-9.48,-1.09,-1.88,308.1,2.84,8.28,3
10.82,174.9,-6.74,-0.38,1.94,341.2,4.57,1.77,3
12.2,211.0,-10.44,-0.15,1.76,190.2,3.47,0.75,1
4.11,226.9,-9.43,1.8,0.89,220.6,6.9,2.72,2
17.86,148.4,-9.42,0.54,1.37,219.5,0.97,4.08,2
9.09,225.8,-6.75,-0.03,-1.38,460.8,5.12,5.62,4
9.34,108.6,-10.69,-2.67,-1.68,216.4,4.85,9.72,2
13.89,192.3,-8.93,-1.88,1.46,398.3,2.34,10.61,3
17.88,152.4,-8.44,-2.38,-0.57,218.8,1.23,8.78,1
15.14,182.3,-10.56,-0.44,-0.71,271.6,2.02,7.29,2
9.39,128.8,-8.25,1.95,0.75,310.7,5.42,0.9,3
9.79,134.7,-7.81,1.19,1.03,192.2,4.86,6.38,1
6.29,225.5,-5.18,-0.56,0.45,336.7,7.24,1.49,3
2.11,219.6,-5.76,-0.43,-1.62,257.6,8.43,11.64,2
18.85,228.1,-5.42,-2.79,-0.54,429.7,0.85,4.1,4
2.89,171.8,-9.38,1.18,-1.95,396.4,8.52,5.65,3
6.14,199.3,-10.1,-1.09,-1.61,323.0,7.52,0.82,2
19.0,168.7,-7.17,-2.86,0.91,328.9,0.29,5.91,2
11.98,137.4,-9.79,1.62,-0.91,216.0,3.26,9.03,1
17.21,100.9,-7.48,-0.8,-1.36,382.4,1.7,6.96,3
14.21,238.0,-9.83,0.37,1.92,283.8,2.93,11.53,2
1.88,204.6,-10.61,-0.3,1.28,331.2,8.27,5.57,3
3.85,217.3,-8.31,0.95,0.73,303.3,7.72,13.29,3
3.23,111.1,-7.18,1.81,-0.7,184.3,8.2,11.59,1
10.14,232.4,-10.44,0.1,-1.33,305.0,4.34,11.02,2
16.51,122.0,-7.7,-2.42,1.26,160.0,1.57,2.15,1
14.65,226.5,-8.38,-0.06,1.71,496.8,2.77,3.37,4
4.94,214.7,-9.47,-2.84,1.45,349.4,7.24,4.9,3
8.92,210.8,-9.97,-1.28,-0.99,253.6,6.05,2.53,2
14.27,203.1,-9.59,-2.63,-1.64,157.5,2.91,1.05,1
17.99,130.4,-5.62,-1.57,0.02,427.1,0.79,0.36,3
18.41,198.7,-10.81,1.49,1.09,431.3,0.31,5.78,4
10.59,116.3,-10.12,-1.94,1.93,245.2,4.32,0.53,1
8.91,228.9,-7.89,0.91,1.66,439.8,5.62,2.45,4
13.38,130.1,-6.9,-1.02,-1.87,274.1,3.95,12.9,2
13.59,165.9,-8.54,-1.15,-1.91,139.2,3.28,6.98,1
19.49,235.9,-9.56,1.22,0.53,172.1,0.1,1.45,1
10.46,219.3,-9.35,-0.94,-1.49,460.5,4.76,12.41,4
11.21,105.7,-7.1,1.91,0.43,456.8,4.71,2.6,4
9.72,173.3,-6.72,-2.01,-1.96,145.6,3.92,6.93,1
14.62,178.8,-5.18,1.4,0.97,304.3,2.37,11.8,3
7.37,225.3,-6.78,-1.64,-0.45,221.3,6.52,13.83,1
1.68,189.5,-8.47,-0.22,1.03,468.2,10.0,1.77,4
11.57,109.9,-9.53,-2.4,0.77,339.7,3.94,9.78,3
6.34,163.0,-7.79,-2.77,-0.09,329.0,6.48,1.08,3
15.21,199.0,-6.64,-1.14,0.03,124.5,2.51,8.13,1
4.26,248.2,-10.3,-2.1,-1.64,342.4,7.68,10.8,2
17.06,157.6,-10.64,-0.56,0.59,289.9,1.4,4.73,2
15.46,247.7,-9.66,-1.79,0.56,240.1,2.07,8.5,2
8.16,182.3,-8.48,-2.81,1.26,439.9,5.68,4.53,4
4.27,169.6,-7.0,0.59,-1.8,349.0,7.88,4.35,2
17.25,162.3,-10.95,-1.33,-1.25,497.1,0.1,4.65,4
7.49,186.9,-7.77,-2.14,0.65,125.3,6.52,9.08,1
2.98,164.3,-9.25,1.74,0.21,219.7,8.81,8.65,1
10.65,157.5,-8.99,-0.56,-0.34,366.1,3.69,12.78,3
1.77,246.7,-8.4,-0.19,-1.89,500.7,9.11,11.47,4
4.06,174.2,-8.24,1.81,1.34,488.6,9.07,8.13,4
3.52,217.0,-8.59,-2.41,-0.84,322.3,7.83,8.63,3
10.48,175.9,-10.48,-2.09,-0.54,419.4,5.29,7.74,4
7.24,134.8,-10.05,0.55,-0.18,513.5,6.81,9.49,4
14.77,242.3,-8.04,-0.2,0.18,436.7,2.6,5.94,4
3.06,232.2,-8.68,-0.92,-1.04,407.2,9.13,13.51,3
6.81,121.3,-5.02,-2.44,-0.01,404.4,7.37,0.17,4
6.68,232.7,-6.38,-0.08,1.7,446.4,6.45,2.15,3
15.2,129.6,-7.5,-0.79,-1.19,475.6,2.15,2.61,4
17.72,185.3,-7.71,0.36,0.2,264.9,1.06,2.07,2
10.36,239.7,-10.7,-1.5,1.89,519.5,5.08,8.28,4
11.67,184.7,-6.94,-0.99,-0.08,462.1,4.7,0.26,4
16.14,131.7,-7.61,-1.46,1.62,203.4,2.12,1.43,1
17.55,139.7,-7.9,-2.0,-1.85,204.6,1.21,1.8,2
15.51,201.8,-6.4,-0.46,0.1,537.7,1.83,11.29,4
5.92,212.1,-6.3,1.15,-1.99,282.7,7.24,11.8,2
2.39,188.8,-9.7,-2.83,-0.92,409.6,9.05,9.25,3
5.01,142.2,-9.89,-0.57,1.67,541.3,6.44,5.49,4
12.77,128.0,-7.04,0.76,-0.34,363.6,3.84,10.39,3
11.43,198.2,-9.02,0.17,-0.15,216.5,4.47,11.91,2
10.65,134.4,-8.27,1.97,-0.39,406.0,4.3,5.21,4
2.39,124.4,-10.73,-2.71,0.96,471.5,8.89,9.44,4
8.81,119.7,-8.46,-2.19,-0.41,486.7,4.85,9.71,4
1.5,210.8,-5.35,-1.4,0.04,353.4,8.67,5.32,3
13.41,206.8,-6.87,-2.97,-1.75,473.7,2.68,0.5,4
5.67,239.1,-6.08,-0.4,0.85,419.9,7.1,6.76,4
14.43,139.3,-7.23,0.2,0.14,225.1,2.76,5.36,2
11.11,188.4,-7.49,-0.91,1.89,435.6,4.64,12.75,3
2.03,237.9,-5.17,-0.91,1.48,327.4,9.78,1.03,3
3.65,133.5,-8.06,1.39,-0.62,381.1,8.41,13.79,3
18.32,168.1,-6.26,0.06,-0.51,149.9,1.15,9.66,1
17.64,244.9,-9.61,-1.68,0.64,542.4,1.73,12.78,4
16.5,243.2,-10.39,-1.4,-0.17,115.5,2.22,2.99,1
11.85,176.7,-9.91,-2.0,0.22,335.3,4.22,9.24,3
7.84,167.3,-8.95,-1.68,1.88,445.6,5.74,2.68,4
19.22,241.7,-8.24,0.35,-1.64,254.8,0.59,10.63,2
18.28,189.9,-5.66,0.19,0.38,215.4,0.58,0.41,2
1.32,137.0,-7.44,-1.69,0.71,124.0,9.56,5.88,1
3.3,177.6,-7.14,-0.3,-1.12,230.0,8.12,4.22,1
11.32,185.9,-8.69,1.3,0.34,172.6,3.96,10.83,1
