Retention Time (min),Van der Waals Radius (pm),HOMO Energy (eV),LUMO Energy (eV),Redox Potential (V),Molecular Weight (g/mol),Polarizability,pKa,Number of Benzene Rings
5.19,237.6,-5.72,-0.84,-1.78,312.0,6.8,11.37,3
10.42,150.6,-7.3,-0.38,-1.06,380.1,4.67,10.93,3
1.9,104.3,-9.45,0.86,1.32,264.5,8.78,10.07,2
6.5,195.6,-8.89,-1.84,-1.82,314.2,6.38,5.76,2
15.0,210.6,-6.51,-1.89,1.15,323.5,3.18,6.56,3
12.8,200.6,-8.8,-0.58,-1.55,126.5,2.86,2.93,1
16.55,158.6,-10.95,-0.53,1.37,507.7,2.94,3.89,4
15.15,229.2,-10.37,-2.88,1.14,502.3,3.32,9.55,4
1.4,153.5,-9.29,-0.09,-1.12,278.1,8.69,4.56,2
11.82,180.7,-8.64,-0.91,-0.39,101.7,4.01,10.14,1
9.33,238.3,-8.81,-0.12,-0.17,428.5,5.73,8.74,3
7.86,209.2,-6.16,1.57,-0.42,248.1,5.28,4.99,1
19.86,114.2,-9.67,-1.33,-1.16,400.4,0.1,2.35,3
13.48,216.6,-8.54,-2.46,-1.1,540.1,3.5,4.48,4
5.77,235.3,-6.11,-1.97,0.76,213.9,6.89,5.11,1
11.12,223.8,-6.24,-1.47,-1.39,302.9,4.59,9.04,2
2.81,171.5,-9.77,1.32,-0.87,353.3,7.84,0.87,3
15.16,223.8,-8.82,-0.25,-1.75,212.9,1.14,12.13,2
7.61,111.3,-10.06,1.98,-1.13,405.8,6.24,8.75,4
4.21,138.1,-10.46,-1.57,-1.85,368.1,7.05,0.74,3
4.09,230.0,-7.67,-2.66,0.79,369.5,7.31,3.52,3
1.29,106.2,-9.08,-1.49,-0.38,458.5,9.04,2.11,4
15.78,159.7,-7.92,1.96,-0.49,105.5,3.06,8.15,1
14.85,229.1,-7.47,0.72,-0.06,430.7,3.07,7.97,4
10.22,166.9,-7.36,1.58,-0.95,121.3,3.88,5.1,1
6.81,112.7,-5.36,-0.03,-0.56,202.9,7.24,10.64,2
8.44,168.9,-9.59,-1.62,0.36,393.3,5.42,0.86,3
17.8,209.8,-5.61,1.77,-1.1,315.7,1.5,11.58,3
3.3,147.5,-10.69,-1.85,-0.15,223.1,8.75,12.44,2
1.56,236.0,-10.82,-1.01,0.3,115.8,9.33,2.6,1
5.1,241.1,-10.35,-1.53,-1.45,514.9,8.17,13.17,4
10.89,125.2,-7.14,0.22,-0.77,332.6,4.27,10.25,2
1.15,114.0,-7.82,-0.91,0.21,318.7,9.82,12.51,3
2.98,144.9,-10.03,1.79,-0.39,492.7,8.42,11.08,4
14.26,170.4,-10.11,1.84,0.86,393.3,3.26,0.95,3
9.51,123.6,-7.82,-2.52,-1.07,442.9,4.62,3.46,4
19.02,136.2,-5.25,1.64,-0.12,488.7,0.55,11.91,4
18.3,240.0,-9.9,0.99,1.28,465.6,0.61,0.67,4
6.25,207.2,-9.45,0.56,-1.43,317.0,7.62,9.93,3
8.18,189.7,-10.28,-1.19,1.58,343.8,5.38,9.54,2
18.45,206.2,-7.43,0.4,-0.21,502.1,0.94,6.22,4
12.01,100.4,-5.44,1.05,-0.08,443.1,4.18,8.05,3
8.02,121.8,-9.57,1.15,0.54,223.5,6.52,3.65,2
16.21,203.8,-8.17,1.03,0.17,319.3,2.37,8.27,2
18.57,207.2,-5.55,-1.4,1.29,363.7,0.52,9.63,3
13.8,227.9,-6.75,-2.07,-1.25,239.5,2.78,5.4,1
5.39,187.8,-7.83,-0.28,-1.48,503.4,8.14,2.07,4
16.57,183.6,-7.16,-1.73,-0.95,422.9,1.13,13.23,4
8.99,159.6,-6.61,0.92,1.99,205.8,5.23,13.85,2
14.26,222.5,-6.63,-2.78,-1.6,419.7,2.77,0.98,4
10.24,227.8,-8.09,-0.87,0.12,407.2,4.24,0.78,3
18.88,167.7,-9.31,0.89,1.09,202.6,0.27,5.08,2
2.3,156.3,-9.76,-2.6,1.33,372.3,8.77,13.15,3
3.96,107.6,-5.49,0.43,1.83,183.4,7.63,5.32,1
4.7,218.8,-10.65,-1.84,1.98,222.0,7.45,3.2,1
5.2,201.0,-8.98,-2.36,0.21,267.5,7.35,13.67,2
5.47,165.9,-6.86,-1.46,-1.04,401.8,7.97,3.27,4
3.9,175.7,-7.4,-2.9,0.08,433.6,7.85,9.59,4
14.17,234.4,-8.4,0.15,0.94,408.1,2.73,1.56,4
5.14,231.7,-10.37,-1.34,-0.09,547.2,7.55,8.85,4
5.47,126.9,-10.16,1.97,-0.91,496.1,7.91,2.03,4
4.75,227.4,-6.82,-2.51,1.29,301.3,6.12,3.9,3
8.58,176.5,-8.1,1.47,1.32,206.7,5.79,6.11,2
19.21,115.9,-8.96,-0.51,0.2,234.6,0.56,10.71,2
7.97,146.7,-8.75,-2.41,0.41,217.0,6.83,7.77,1
6.65,203.0,-8.43,1.28,0.05,160.5,6.71,2.52,1
2.3,234.0,-6.9,-2.44,1.13,476.3,8.43,10.57,4
7.7,116.3,-7.39,0.23,1.55,531.0,6.38,8.93,4
5.41,191.4,-10.58,-1.77,-1.99,333.8,6.7,0.27,2
15.5,201.7,-10.06,-0.75,1.89,264.7,2.47,0.92,2
3.12,141.4,-10.58,-0.13,-0.62,514.3,7.83,1.29,4
3.73,213.5,-10.79,1.6,-0.4,335.9,8.12,3.49,3
6.29,115.5,-6.34,-1.58,-0.53,327.1,7.21,3.87,3
6.47,136.0,-5.89,-1.06,1.38,246.5,5.56,9.48,1
17.08,100.1,-8.5,-2.0,0.95,496.1,2.21,9.1,4
16.03,175.4,-5.19,-1.28,-1.28,398.9,1.12,12.21,3
11.99,139.5,-5.82,-2.37,-0.37,331.8,4.14,11.41,2
6.48,111.7,-5.84,-0.26,-1.99,305.0,7.31,11.04,3
7.06,232.1,-8.8,-0.2,1.21,143.6,6.98,8.24,1
12.25,129.8,-5.27,0.12,-1.05,408.2,4.45,1.49,3
15.06,185.1,-6.51,-1.85,-1.67,368.7,2.5,9.63,3
8.3,140.7,-8.88,-0.84,0.64,341.5,5.81,4.23,2
10.68,189.6,-5.67,-2.79,-1.12,368.1,5.72,10.97,3
17.87,198.1,-10.98,-2.8,0.2,319.9,1.21,5.13,3
13.35,208.8,-7.57,-1.45,-1.36,336.2,3.9,1.88,2
11.18,144.4,-7.88,-0.55,1.16,301.8,4.18,8.47,3
2.35,107.1,-10.51,0.46,1.93,214.1,9.48,12.36,1
4.34,228.6,-5.83,0.79,-1.57,402.2,7.34,2.46,4
4.82,245.4,-9.31,-0.99,1.37,470.0,8.11,4.12,4
12.84,232.9,-8.74,0.78,-0.04,331.6,3.7,3.7,3
3.05,112.4,-8.15,0.64,-1.79,242.8,9.54,10.95,1
1.55,217.8,-6.1,0.16,0.09,260.1,8.76,2.13,2
7.85,172.9,-7.43,-2.29,-0.07,105.6,6.96,6.17,1
14.66,194.8,-7.62,-1.56,1.57,216.7,2.54,5.27,1
14.17,191.8,-8.83,-0.33,-0.64,148.2,2.34,10.77,1
16.06,180.3,-9.32,1.07,1.03,396.3,2.97,6.15,3
14.23,201.3,-8.13,-0.98,-1.47,261.4,2.76,3.48,2
12.65,192.4,-9.47,1.84,-0.45,466.3,4.13,1.13,4
10.24,186.5,-8.96,0.33,0.16,340.3,4.21,6.8,3
4.96,121.4,-8.36,-1.43,-1.27,418.5,7.9,3.49,3
11.8,229.7,-5.94,-0.19,-1.21,370.1,3.72,9.6,3
13.1,213.0,-5.42,-1.12,-1.02,106.9,3.15,3.36,1
3.35,244.7,-6.02,1.56,0.97,341.8,8.5,7.52,2
11.74,218.8,-7.85,-2.76,1.77,375.0,3.73,8.91,3
2.86,187.4,-6.73,-1.86,-1.49,273.4,8.66,12.61,2
11.39,237.6,-8.99,-2.52,0.19,252.6,4.28,12.68,2
4.02,198.1,-8.24,1.03,-1.41,195.6,8.08,9.36,1
3.26,146.5,-5.36,-2.04,-1.78,460.8,8.37,2.99,4
3.15,126.3,-8.87,0.71,-1.84,412.7,8.22,0.84,3
18.31,190.6,-9.96,-0.19,-0.28,331.6,1.01,10.53,2
12.36,210.4,-8.17,1.15,-0.3,374.0,3.4,5.04,3
5.75,223.6,-7.08,1.97,0.66,398.2,7.46,1.69,3
2.36,142.8,-10.24,-2.23,-0.44,345.0,9.03,11.69,3
11.19,235.3,-10.27,-2.25,-1.08,294.2,4.24,7.52,2
3.75,186.7,-9.18,0.18,-1.61,495.7,8.47,13.29,4
15.79,208.5,-5.55,-2.82,0.28,177.3,2.2,8.1,1
10.43,221.2,-6.95,1.09,-1.13,224.8,4.76,13.32,2
